"%1 Review(s)","%1 レビュー"
"%1 Reward points","%1 ポイント"
"%1 Reward points (%2)","%1 ポイント (%2)"
"%1 [%2]","%1 [%2]"
"%1 and above","%1 と以上"
"%1 and greater","%1 とそれ以上"
"%1 cache type(s) disabled.","%1 件のキャッシュが無効になりました。"
"%1 cache type(s) enabled.","%1 件のキャッシュが有効になりました。"
"%1 cache type(s) refreshed.","%1 件のキャッシュが更新されました。"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 クラスは \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface を実装していません"
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 クラスは、\Magento\Payment\Model\MethodInterface を実装していません"
"%1 coupon(s) have been generated.","%1 クーポンが作成されました"
"%1 does not contain field '%2'",%1はフィールド'%2'を含みません
"%1 does not contain field 'file'",%1はフィールド'file'を含みません
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 は \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface 継承していません。"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 は \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice継承していません。"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 は \Magento\Checkout\CustomerData\ItemInterface 継承していません。"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 は \Magento\Customer\CustomerData\SectionSourceInterface 継承していません。"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 は \Magento\Framework\Filter\Template 継承していません。"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 は \Magento\Catalog\Model\Layer\Filter\AbstractFilter 継承していません。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 は \Magento\Catalog\Model\Product\Option\Type\DefaultType 継承していません。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 は \Magento\Catalog\Model\Product\Type\AbstractType 継承していません。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 は \Magento\Catalog\Model\Product\Type\Price 継承していません。"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 は \Magento\Framework\Model\AbstractModel 継承していません。"
"%1 doesn't implement SortInterface","%1 は SortInterface を実装していません"
"%1 email(s) were sent.","%1 件のメールを送信しました"
"%1 for ""%2""","""%2""のための%1"
"%1 for ""%2"".","""%2"" のための %1"
"%1 for %2","%2 のための %1"
"%1 for item %2 cannot be empty.",アイテム%2の%1は空ではありません。
"%1 has been added to your Wish List.","%1 があなたの欲しいものリストに追加されました。"
"%1 has been moved to your wish list.","%1 はあなたのお気に入りリストに移動されました。"
"%1 has been updated in your Wish List.","%1 はあなたの欲しいものリストでアップデートされました。"
"%1 has reached a quantity of %2.","%1 は %2 の量に達しました"
"%1 index is locked by another reindex process. Skipping.",%1インデックスは別の再インデックスプロセスによってロックされています。スキップします。
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 インデックス処理 は""Update by Schedule""モードです。"
"%1 indexer(s) are in ""Update on Save"" mode.","%1iインデックス処理は""Update on Save""モードです。"
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.",これらのメールアドレスに対して顧客アカウントが既に存在するため、%1個の招待状が送信されませんでした。
"%1 is available to buy in increments of %2",%1は%2の数量づつ購入が可能です
"%1 is not a correct comparison method.",%1は正しい比較手段ではありません。
"%1 is required.","%1 is は必須です。"
"%1 item(s) have been added to the gift registry.",%1アイテムがギフトレジストリに追加されました。
"%1 item(s) need your attention.",注意が必要なアイテムが%1あります。
"%1 items","%1 商品"
"%1 items are already present in %2: %3.",%1のアイテムはすでに%2：%3にあります。
"%1 items cannot be moved: %2.","%1 アイテムは移動できません: %2."
"%1 items in wish list",欲しいものリストの%1アイテム
"%1 items were copied to %2: %3.",%1個のアイテムが%2：%3にコピーされました。
"%1 items were moved to %2: %3.",%1個のアイテムが%2：%3に移動されました。
"%1 order(s) cannot be canceled.","%1 注文がキャンセルできません"
"%1 order(s) have been released from on hold status.","%1 注文が保留状態からリリースされました"
"%1 order(s) were not put on hold.","%1 注文が保留になりました"
"%1 order(s) were not released from on hold status.","%1 注文は保留状態からリリースされていません"
"%1 product requires your attention.",%1商品に注意が必要です。
"%1 product(s) have been added to shopping cart: %2.","%1 個のアイテムがショッピングカートに追加されました: %2."
"%1 products require your attention.",%1商品に注意が必要です。
"%1 spent = %2 earned","%1 消費 = %2 獲得"
"%1 store reward points available",%1店舗の特典ポイントが利用可能です
"%1 store reward points available (%2)","%1店舗の特典ポイントが利用可能です (%2)"
"%1 was deducted because of refund.",払い戻しのため%1が差し引かれました。
"%1 was updated in your shopping cart.","%1 はショッピングカート内でアップデートされました。"
"%1 with %2 discount each","%1 と %2 で各ディスカウント"
"%1 x %2","%1 x %2"
"%1's Wish List","%1 の欲しいものリスト"
"%1's Wish List (%2)",%1さんの欲しいものリスト(%2)
"%1's Wishlist","%1 の欲しいものリスト"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name は %store_name からのお気に入りリストをあなたとシェアしたがっています:"
"%customer_name,","%customer_name,"
"%inviter_name invites you to join Private Sales Site",%inviter_nameはあなたをプライベートセールスサイトにご招待します
"%name,","%name,"
"%operation_name - Scheduled Export Failed","%operation_name - スケジュールされたエクスポートに失敗しました"
"%operation_name - Scheduled Import Failed","%operation_name - スケジュールされたインポートに失敗しました"
"%s SKU(s) processed successfully","%s SKUが正常に処理されました"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%senderがあなたに<a href=""%store_url"">%store_name </a>で使用するギフトカードを送信しました。これで、購入の際利用できるようになりました。"
"%sender_name wants to share this product with you:","%sender_name はこの商品をあなたとシェアしたがっています:"
%store_name,%store_name
"%store_name  - Scheduled Import Failed","%store_name  - スケジュールされたインポートに失敗しました"
"%store_name - Scheduled Export Failed","%store_name - スケジュールされたエクスポートに失敗しました"
"%store_name : New Return #%increment_id","%store_name : 新しい戻り値 #%increment_id"
"%store_name offers limited time sales of products only to members.","%store_name は限定時間セールをメンバーにのみおこないます。"
"%store_name:  New customer comment","%store_name:  新規顧客のコメント"
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"'%1' file extension is not supported",'%1'ファイル拡張子はサポートされていません
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' はDNSホストネームのようですが渡されたピューニーノーテーションは解読できません"
"'%value%' does not look like a valid local network name.",'%value%'は有効なローカルネットワーク名ではありません
"'%value%' looks like a DNS hostname but cannot extract TLD part.",'%value%'はDNSホストネームのようですがTLD部分を抽出できません
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.",'%value%'はDNSホストネームのようですがダッシュが不正な位置にあります
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' はDNSホストネームのようですがTLD '%tld%'のホストネームスキーマにマッチできません
'%value%' looks like a DNS hostname but cannot extract TLD part."""
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' はローカルホストネームのようですが受けれられるフォーマットではありません。"
"'%value%' looks like an IP address, which is not an acceptable format.",'%value%'はIPアドレスのようですが適切なフォーマットではありません
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - すべてにマッチ; 'xyz*' - 'xyz'で始まるものすべて、そして%1の長さ以下"
"'Object is not instance of ' .","'オブジェクトはインスタンスではありません ' ."
"'There is no defined type ' .","'定義された型はありません' ."
(Allow),(許可)
"(Copy data from: %1)","(データのコピー元: %1)"
(Deny),(拒否)
"(Excl. Tax)",(税別)
"(Incl. Tax)",(税込)
(now),(現在)
"* - Enter custom price excluding tax","* - 税別のカスタム価格を入力"
"* - Enter custom price including tax","* - 税込みのカスタム価格を入力"
"* Required Fields","* 必須項目"
"* applicable to visitors and registered customers","* 訪問者および登録顧客に適用される"
"-- All --","-- すべて --"
"-- First Please Select a Website --","-- 最初にウェブサイトを選択してください --"
"-- No Theme --","-- テーマなし --"
"-- None --","-- なし --"
"-- Please Select --","-- 選択してください --"
"-- Please Select Billing Agreement--","-- 支払合意を選択してください--"
"-- Please Select a Category --","-- カテゴリを選択してください --"
"-- Please select --","-- 選択してください --"
"-- Select --",--選択してください--
"--Please Select--",--選択してください--
.,。
". ':'",.':'
"1 Day Freight",翌日配達
"1 Hour",1時間
"1 column",1カラム
"1 item","1 商品"
"1 item in wish list",欲しいものリストの1アイテム
"10 minutes","10 分"
"12 Hours",12時間
"12h AM/PM",12時間表記
"15 minutes","15 分"
"2 Day","2 営業日"
"2 Day AM","2 営業日午前"
"2 Day Freight",2営業日配達
"2 Hours",2時間
"2 columns with left bar",2カラム左ナビ付き
"2 columns with right bar",2カラム右ナビ付き
"2-pixel perimeter around the header space.",ヘッダースペースの周囲2ピクセル
"20 minutes","20 分"
"200 OK","200 OK"
"24 Hours",24時間
24h,24時間
2YTD,2年間
"2nd Day Air",セカンドデーエアー
"2nd Day Air AM","セカンドデーエアー AM"
"2nd Day Air AM Letter","セカンドデーエアー AM レター"
"2nd Day Air Letter",セカンドデーエアーレター
"3 Day Freight",3営業日配達
"3 Day Select",スリーデーセレクト
"3 columns",3カラム
"30 minutes","30 分"
"3D Secure Verification",3Dセキュア認証
"3D Secure Verification Settings",3Dセキュア認証設定
"5 minutes","5 分"
"503 Service Unavailable","503 サービス利用不可"
"6 Hours",6時間
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1""onclick=""this.target='blank'"">%2 %3</a><a href=""mailto:%4""> (%4)</a>"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">更に詳細</a>."
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","これらの通知から<a href=""%unsubscription_url"">登録解除</a>する。"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>重要</ b>：「自動生成を使用する」を選択すると、このルールは放棄されたカートの自動電子メールリマインダールールでは使用されなくなります"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 エラー</h1><p>ページが見つかりません。</p>"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>から</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>まで</span></label>"
"<pre> %1 </pre>","<pre> %1 </pre>"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">注文日:</span> %1"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span id = ""sku-attention-num"">%1</span>商品に注意が必要です。</span>"
"<span>Item %1</span> of %2","<span>個別商品 %1</span> の %2"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 アイテム</strong>が以下の検索条件にて見つかりました"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 アイテム</strong>が以下の検索条件にて見つかりました"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>: CAPTCHAは大文字小文字を区別します。"
"A PDF object is not specified.",PDFオブジェクトが指定されていません
"A PDF page object is not specified.",PDFページオブジェクトが指定されていません
"A block identifier with the same properties already exists in the selected store.",選択した店舗には同じブロック識別子のブロックが存在しています。
"A case that has been resolved and close requires a reimbursement.",事案は解決され終了するには返金が必要です。
"A class with the same name already exists for ClassType %1.","同じ名前のクラスがクラスタイプ %1　に存在します"
"A consumer having the specified key does not exist",指定されたキーを持つ顧客は存在しません
"A consumer with the ID %1 does not exist","ID %1の顧客は存在しません"
"A creditmemo can not be created when an order has a status of %1",オーダーのステータスが%1の場合、クレジットメモを作成することはできません
"A fieldset with the same code alredy exists.",同じコードを持つフィールドセットはすでに存在します。
"A group with the same name already exists.",同じ名前のグループが既に存在しています。
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","グループ化された商品は、グループとして提示される複数のスタンドアロン商品で構成されています。 1つの商品のバリエーションを提供することも、シーズンやテーマ別にグループ化してコーディネートされたセットを作成することもできます。各商品は個別に、またはグループの一部として購入することができます。"
"A hold action is not available.",保留は有効ではありません
"A joined field with this alias is already declared.",このエイリアスの結合フィールドは常に宣言されています
"A letter with further instructions will be sent to your email.",更なる指示がEメールで送られます。
"A login and a password are required.",ログインとパスワードは必須です。
"A match of the Shipping Address City, State, and Postal Code failed.",配送先住所の市、県、郵便番号が一致しませんでした。
"A name is required.",名前は必須です。
"A payer is not identified.",支払人が特定されていません。
"A positive or negative non-decimal number please",整数か負の小数点のつかない数字にしてください
"A product type is not defined for the indexer.",商品種別はインデックス処理で未定義です。
"A quantity of %1 is greater than you can return.",%1の数量は返すことができます。
"A quantity you're trying to add exceeds the number of products we shipped.",追加しようとしている数量が、出荷された商品の数を超えています。
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.",顧客の不正な偽装の疑惑の異議のためにこのトランザクションの破棄が発生しました。
"A reversal has occurred on this transaction because you have given the customer a refund.",顧客に返金を行なったためにこのトランザクションで破棄が発生しました。
"A reversal has occurred on this transaction due to a chargeback by your customer.",顧客による入金取り消しのためこのトランザクションで破棄が発生しました。
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.",顧客からのトランザクションに対する不満のためこのトランザクションで破棄が発生しました。
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.",顧客がマネーバック保証を実行したのでこのトランザクションで破棄が発生しました。
"A row with this email, website, and finance website combination already exists.",このメール、ウェブサイト、および財務のウェブサイトの組み合わせの行は既に存在します。
"A shipment cannot be created when an order has a status of %1",オーダーのステータスが％1の場合、出荷を作成できません
"A shipping selection is not applicable.",発送方法は適用されません。
"A token with consumer ID %1 does not exist","顧客ID %1 のトークンは存在しません"
"A token with consumer ID 0 does not exist","顧客ID 0のトークンは存在しません"
"A total of %1 record(s) have been deleted.","合計 %1 レコードが削除されました。"
"A total of %1 record(s) have been disabled.","合計 %1 レコードが無効化されました。"
"A total of %1 record(s) have been enabled.","合計 %1 レコードが有効化されました。"
"A total of %1 record(s) have been marked as Read.",合計%1件のレコードが既読になりました
"A total of %1 record(s) have been updated.","合計 %1 レコードがアップデートされました。"
"A total of %1 record(s) were deleted.","合計 %1のレコードが削除されました。"
"A total of %1 record(s) were updated.","合計 %1 のレコードがアップデートされました。"
"A total of %1 synonym group(s) have been deleted.",合計％1の同義語グループが削除されました。
"A user with the same user name or email already exists.",同じユーザーネームかEメールアドレスをお持ちのユーザーが既に存在します。
"A wrong PayPal Express Checkout Token is specified.",誤ったPayPalエクスプレスチェックアウトトークンが指摘されました。
"ACH Deposit (Hold for Dispute or Other Investigation)",ACH振り込み(異議申し立てのため保留か他の調査)
"ACH Deposit (Reversal)",ACH振り込み(破棄)
"ACH Funding for Funds Recovery from Account Balance",ACHアカウント残高からのファンド回復のためのACHファンディング
"ACH Withdrawal",ACH引き落とし
ALL,全て
"ALL GROUPS",全てのグループ
AM,AM
ANY,いずれか
API,API
"API Authentication Methods","API 権限メソッド"
"API Certificate",API証明書
"API Login ID",APIログインID
"API Password","API パスワード"
"API Signature",API署名
"API Username","API ユーザー名"
"API Uses Proxy",APIはプロキシーを使用します
"API interfaces reflection data",APIインターフェースリフレクションデータ
ASCII,ASCII
"AVS Response","AVS レスポンス"
"AVS Street Does Not Match",AVS番地がマッチしません
"AVS Street Match",AVS番地合致
"AVS Zip Does Not Match",AVS郵便番号がマッチしません
"AVS result code",AVSリザルトコード
"AVS zip",AVS郵便番号
"Abandoned Cart",放置されたカート
"Abandoned Carts",無効になったショッピングカート
"Abandoned carts",無効になったショッピングカート
"Ability for buyer to purchase without PayPal account.",PayPalアカウントなしで購入者に購入を行わせる
"About Your Invoice",あなたのお支払について
"About Your Order",ご注文について
"About Your Refund",あなたのご返金について
"About Your Shipment",あなたのお荷物配送状況について
"About the calendar",カレンダーについて
"Accept Payment",支払受付
"Accept Rate",受け入れ率
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","あなたのMagentoストアでクレジットカード/デビットカードとPayPalを受け入れます。<br/>セットアップや月額料金はなく、顧客は購入手続きを完了するために別サイトに移動する必要はありません。
Accept or Deny Payment"""
"Accept or Deny Payment",支払受け入れまたは拒否
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","あなたのサイトに顧客を保つPCI準拠のチェックアウトで支払いを受け入れます。 （<u>エクスプレスチェックアウトを含む</u>）"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","あなたのサイトに顧客を保つPCI準拠のチェックアウトで支払いを受け入れます。 （<u>エクスプレスチェックアウトを含む</u>）"
"Accept payments with a completely customizable checkout page.",完全にカスタマイズできるチェックアウトページの支払を受付
"Acceptance Mark",許可マーク
"Acceptance Mark Image",受領マーク画像
Accepted,承認済
"Accepted Currency",支払可能通貨
"Accepted and Purchased",承認と購入
"Access Denied.",アクセス拒否
"Access ID",アクセスID
"Access Key",アクセスキー
"Access License Number",アクセスライセンス番号
"Access Restriction",アクセス制限
"Access Token",アクセストークン
"Access Token Secret",アクセストークンの秘密
"Access list",リストにアクセス
"Access token has been revoked",アクセストークンは破棄されました
Account,アカウント
"Account &amp; Shipping Information",アカウントと出荷情報
"Account Activity",アカウントアクティビティ
"Account Created in",アカウント作成日
"Account Created in:",作成されたアカウント:
"Account Created on (%1):",作成されたアカウント（%1）：
"Account Created:",アカウント作成:
"Account ID",アカウントID
"Account Information",アカウント情報
"Account Lock",アカウントロック
"Account Lock:",アカウントロック:
"Account Number",アカウント番号
"Account Setting",アカウント設定
"Account Sharing Options",アカウント設定オプション
"Account Status",アカウントステータス
"Account type",アカウントタイプ
"Account-to-Account Payment, initiated by PayPal","アカウント間の支払, PayPal主導"
Action,アクション
"Action Group",アクショングループ
"Action Log",アクションログ
"Actions for Acquiring Reward Points by Customers",顧客がポイントを獲得するアクション
Activate,有効化
Active,アクティブ
"Actual Children Count",実際の子供の数
"Actual Level",実際のレベル
"Actual Price",実価格
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","アダプターは \Magento\ImportExport\Model\Import\AbstractSource のインスタンスでなければなりません"
Add,追加
"Add All To Gift Registry",ギフトレジストリにすべて追加
"Add All to Cart",すべてをカートに入れる
"Add Amount",額を追加
"Add Attribute",属性の追加
"Add Attribute Set",属性セット追加
"Add CMS Block",CMSブロックを追加
"Add Catalog Event",カタログイベントを追加
"Add Condition",条件を追加
"Add Cross-Sell Products",クロスセル商品を追加
"Add Date",登録日
"Add Design Change",デザインの変更を追加
"Add Details",詳細を追加
"Add Event",イベントを追加
"Add Gift Card",ギフトカードを追加
"Add Gift Card Account",ギフトカードアカウントを追加
"Add Gift Options for the Entire Order",全体の注文にギフトオプションを追加してください
"Add Gift Registry Type",ギフトレジストリ種別
"Add Gift Wrapping",ギフトラッピングを追加
"Add Group",グループの追加
"Add Images into Sitemap",サイトマップに画像を追加
"Add Invitations",招待を追加
"Add Invitee",送信先を追加
"Add Item To Return",返品する商品を追加
"Add Layout Update",レイアウト更新追加
"Add Link",リンクを追加
"Add Locale",登録したストアビュー
"Add Minimum Qty",最小個数を追加
"Add New",追加
"Add New %1","%1 の新規追加"
"Add New Address",アカウント追加
"Add New Attribute",新しい属性を追加
"Add New Attribute Set",新規属性の追加
"Add New Block",新規ブロック追加
"Add New Class",新規区分の追加
"Add New Condition",新しい条件を追加
"Add New Customer",新規顧客の追加
"Add New Customer Group",新規顧客グループの追加
"Add New Group",新規グループの追加
"Add New Image",新規画像の追加
"Add New Images",新規画像の追加
"Add New Integration",新しいインテグレーションを追加
"Add New Link",新しいリンク追加
"Add New Option",オプションの追加
"Add New Page",新規ページの追加
"Add New Rate",レートの追加
"Add New Rating",新規評価の追加
"Add New Role",権限の追加
"Add New Row",新しい行の追加
"Add New Rule",新規ルールの追加
"Add New Search Term",新しい検索キーワードを追加
"Add New Tax Class",新しい税クラス追加
"Add New Tax Rate",新規税率の追加
"Add New Tax Rule",新規税算出の追加
"Add New Template",新しいテンプレートの追加
"Add New URL Rewrite",新しいURL書換えを追加
"Add New User",新しいユーザーを追加
"Add New Variable",新しい変数を追加
"Add Node...",ノード追加...
"Add Option",オプションを追加
"Add Package",パッケージの追加
"Add PayPal as an additional payment method to your checkout page.",PayPalを追加支払手段をチェックアウトページに追加
"Add Price",価格追加
"Add Printed Card",ギフトカードを追加
"Add Product",新規商品の追加
"Add Product To Websites",商品をウェブサイトに追加
"Add Product by SKU",SKUによる商品の追加
"Add Products",商品を追加
"Add Products By SKU",SKUによる商品の追加
"Add Products Manually",商品を手動で追加
"Add Products to Group",商品をグループに追加
"Add Products to New Option",新しいオプションに商品追加
"Add Products to Option",オプションに商品を追加
"Add Products to Option ""%1""","オプション ""%1""に商品追加"
"Add Products to Order",注文する商品を追加する
"Add Products to Package",商品を梱包に追加
"Add Registrant",登録者を追加
"Add Related Products",関連商品を追加
"Add Reward Points",ポイントの追加
"Add Root Category",ルートカテゴリを追加
"Add Row",行を追加
"Add Rule",ルール追加
"Add Scheduled Export",定期エクスポートの追加
"Add Scheduled Import",定期インポートの追加
"Add Secret Key to URLs",URLにシークレットキーを付与
"Add Segment",セグメント追加
"Add Selected",選択項目を追加
"Add Selected Product(s) to Order",選択した商品をご注文に追加する
"Add Selected Product(s) to Package",選択した商品を梱包に追加する
"Add Selected Product(s) to returns",返品に選択した商品を追加する
"Add Selected Products",選択した商品を追加
"Add Sitemap",サイトマップを追加
"Add Store Code to Urls",店舗コードをURLに追加
"Add Subcategory",サブカテゴリを追加
"Add Swatch",スワッチ追加
"Add Tax",税を追加
"Add To Order",ご注文にくわえる
"Add Tracking Number",追跡番号追加
"Add URL Rewrite",URL書換追加
"Add URL Rewrite for CMS page",CMSページ用のURLリライト追加
"Add URL Rewrite for a Category",カテゴリのURL書換を追加
"Add URL Rewrite for a Product",商品のURL書換を追加
"Add Up-Sell Products",アップセル商品を追加
"Add Value",値を追加
"Add Video",ビデオ追加
"Add Widget",ウィジェットを追加
"Add Your Review",レビューを追加
"Add \Exception","\Exception 追加"
"Add after",追加後
"Add another payment method to your existing solution or as a stand-alone option.",既に存在する処理法に別の支払方法を追加するかスタンドアローンオプションとしてください。
"Add configurable attributes to the current Attribute Set",構成可能な属性を現在の属性セットに追加する
"Add or remove gift cards",ギフトカードの追加または削除
"Add configurable attributes to the current Attribute Set (""%1"")","設定可能な属性を現在の属性セット (""%1"")に追加"
"Add configurable attributes to the existing Attribute Set",設定可能な属性を既存の属性に追加
